Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,11.5,11.5,10.800000190734863,11.0,11.0,2690
2019-02-07,10.899999618530273,11.100000381469727,10.800000190734863,11.100000381469727,11.100000381469727,3180
2019-02-08,11.199999809265137,11.5,11.0,11.199999809265137,11.199999809265137,3300
2019-02-11,11.399999618530273,12.399999618530273,11.399999618530273,12.100000381469727,12.100000381469727,6680
2019-02-12,12.5,13.399999618530273,12.300000190734863,13.199999809265137,13.199999809265137,9670
2019-02-13,13.199999809265137,13.300000190734863,12.5,12.800000190734863,12.800000190734863,4250
2019-02-14,12.600000381469727,12.800000190734863,12.0,12.0,12.0,2900
2019-02-15,12.600000381469727,13.0,12.0,12.0,12.0,4910
2019-02-19,11.899999618530273,12.899999618530273,11.899999618530273,12.300000190734863,12.300000190734863,3310
2019-02-20,12.300000190734863,12.899999618530273,12.300000190734863,12.300000190734863,12.300000190734863,2120
2019-02-21,12.399999618530273,13.0,12.300000190734863,12.800000190734863,12.800000190734863,1470
2019-02-22,13.0,13.0,12.699999809265137,13.0,13.0,2170
2019-02-25,13.5,13.699999809265137,12.699999809265137,13.0,13.0,7650
2019-02-26,13.0,13.0,12.300000190734863,12.5,12.5,2350
2019-02-27,12.199999809265137,13.100000381469727,12.199999809265137,12.699999809265137,12.699999809265137,1120
2019-02-28,12.800000190734863,13.0,12.300000190734863,13.0,13.0,1370
2019-03-01,12.899999618530273,13.0,12.5,12.800000190734863,12.800000190734863,1950
2019-03-04,12.899999618530273,13.5,12.899999618530273,13.5,13.5,2040
2019-03-05,13.300000190734863,13.399999618530273,12.899999618530273,12.899999618530273,12.899999618530273,2080
2019-03-06,12.899999618530273,13.100000381469727,12.800000190734863,12.800000190734863,12.800000190734863,1430
2019-03-07,13.0,13.399999618530273,12.699999809265137,13.300000190734863,13.300000190734863,1710
2019-03-08,13.300000190734863,13.300000190734863,12.800000190734863,12.800000190734863,12.800000190734863,590
2019-03-11,12.899999618530273,13.100000381469727,12.699999809265137,13.100000381469727,13.100000381469727,1540
2019-03-12,12.899999618530273,13.199999809265137,12.699999809265137,12.699999809265137,12.699999809265137,1790
2019-03-13,12.899999618530273,14.300000190734863,12.899999618530273,13.300000190734863,13.300000190734863,10130
2019-03-14,13.300000190734863,13.699999809265137,12.699999809265137,13.600000381469727,13.600000381469727,2340
2019-03-15,13.5,14.0,13.399999618530273,14.0,14.0,3130
2019-03-18,13.899999618530273,14.300000190734863,13.800000190734863,13.800000190734863,13.800000190734863,3960
2019-03-19,14.399999618530273,14.399999618530273,13.800000190734863,13.800000190734863,13.800000190734863,1350
2019-03-20,13.899999618530273,14.100000381469727,13.800000190734863,14.0,14.0,1160
2019-03-21,13.899999618530273,14.0,13.800000190734863,13.800000190734863,13.800000190734863,320
2019-03-22,13.800000190734863,14.0,13.0,14.0,14.0,4700
2019-03-25,14.0,14.0,13.100000381469727,13.800000190734863,13.800000190734863,3270
